name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id
,198,160419191,,,0,,,0,-92.6453331,41.286528,,
,199,160419194,,,0,,,0,-92.6450926,41.2876411,,
,200,160419196,,,0,,,0,-92.6450809,41.2880488,,
,201,160419201,,,0,,,0,-92.645085,41.2894704,,
,202,160419204,,,0,,,0,-92.645091,41.2898437,,
,203,160419206,,,0,,,0,-92.6450913,41.2899496,,
,204,160419208,,,0,,,0,-92.6450832,41.2908371,,
,205,160419210,,,0,,,0,-92.6450943,41.2917247,,
,206,160419213,,,0,,,0,-92.6450996,41.2926117,,
,207,160419216,traffic_signals,,1,,,0,-92.645111,41.2934971,,
,208,160419219,traffic_signals,,1,,,0,-92.6450944,41.2944087,,
,209,160419290,,,0,,,0,-92.6438509,41.3082586,,
,210,160419294,,,0,,,0,-92.6438596,41.3112158,,
,211,160419459,,,0,,,0,-92.6474333,41.2880314,,
,212,160419461,,,0,,,0,-92.6486171,41.288028,,
,213,160419466,,,0,,,0,-92.6497939,41.2880285,,
,214,160419470,,,0,,,0,-92.6510096,41.2880306,,
,215,160419473,,,0,,,0,-92.6521922,41.2880274,,
,216,160419484,,,0,,,0,-92.6614648,41.2880209,,
,217,160419711,,,0,,,0,-92.6318955,41.2985328,,
,218,160419714,,,0,,,0,-92.6333322,41.298527,,
,219,160419717,,,0,,,0,-92.6345096,41.2985226,,
,220,160419720,,,0,,,0,-92.6356823,41.2985182,,
,221,160419723,,,0,,,0,-92.6366872,41.2985144,,
,222,160419726,,,0,,,0,-92.6380235,41.2985094,,
,223,160419729,,,0,,,0,-92.6391899,41.298505,,
,224,160419732,,,0,,,0,-92.6403643,41.2985006,,
,225,160419734,,,0,,,0,-92.6415325,41.2984962,,
,226,160419737,,,0,,,0,-92.6426995,41.2985001,,
,227,160419746,,,0,,,0,-92.688846,41.271343,,
,229,160419755,,,0,,,0,-92.6859223,41.2736634,,
,230,160419757,,,0,,,0,-92.683849,41.275319,,
,231,160419759,,,0,,,0,-92.6833616,41.2757054,,
,232,160419762,,,0,,,0,-92.6829429,41.2759143,,
,233,160419765,,,0,,,0,-92.6815793,41.2763626,,
,234,160419767,,,0,,,0,-92.6802845,41.2767824,,
,235,160419774,,,0,,,0,-92.678999,41.2778061,,
,236,160419785,,,0,,,0,-92.6782265,41.2780455,,
,237,160419855,,,0,,,0,-92.6509091,41.3356254,,
,238,160419867,,,0,,,0,-92.679679,41.335469,,
,239,160419874,,,0,,,0,-92.698894,41.335377,,
,240,160419881,,,0,,,0,-92.70372,41.335445,,
,241,160419920,,,0,,,0,-92.6225349,41.3356386,,
,242,160419924,,,0,,,0,-92.6410991,41.335673,,
,243,160419928,,,0,,,0,-92.6487759,41.3355727,,
,244,160419933,,,0,,,0,-92.6190354,41.2841529,,
,245,160419939,,,0,,,0,-92.6189883,41.2868604,,
,246,160419942,,,0,,,0,-92.6189777,41.287922,,
,247,160419947,,,0,,,0,-92.650938,41.2934386,,
,248,160419950,,,0,,,0,-92.650999,41.292596,,
,249,160419955,,,0,,,0,-92.650994,41.2917101,,
,250,160419961,,,0,,,0,-92.65102,41.2869616,,
,251,160419963,,,0,,,0,-92.6510205,41.286742,,
,252,160419983,,,0,,,0,-92.6415575,41.3028647,,
,253,160419985,,,0,,,0,-92.6427036,41.3028754,,
,254,160420048,,,0,,,0,-92.6498322,41.2953077,,
,255,160420051,traffic_signals,,1,,,0,-92.6498373,41.2962148,,
,256,160420053,,,0,,,0,-92.6498457,41.2970986,,
,257,160420055,,,0,,,0,-92.6498414,41.2984756,,
,258,160420057,,,0,,,0,-92.6498538,41.2993503,,
,259,160420061,,,0,,,0,-92.6498464,41.3007405,,
,260,160420065,,,0,,,0,-92.6498468,41.3011183,,
,261,160420385,,,0,,,0,-92.6469443,41.3077407,,
,262,160420388,,,0,,,0,-92.648282,41.3077429,,
,263,160420391,,,0,,,0,-92.6495042,41.3077394,,
,264,160420393,,,0,,,0,-92.6506619,41.307741,,
,265,160420397,,,0,,,0,-92.6600369,41.2744228,,
