shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_177169,41.296143,-92.667612,310,12278.87086933
p_177169,41.296161,-92.666033,311,12411.13901803
p_177169,41.296161,-92.663344,312,12636.36281695
p_177169,41.296176,-92.663149,313,12652.78025768
p_177169,41.296199,-92.662927,314,12671.54903875
p_177169,41.296199,-92.662649,315,12694.83359798
p_177169,41.296197,-92.6618,316,12765.94398476
p_177169,41.296196,-92.660331,317,12888.98367089
p_177169,41.296204,-92.659218,318,12982.20989762
p_177169,41.295757,-92.659222,319,13031.85468421
p_177169,41.295294,-92.659223,320,13083.27535857
p_177169,41.295294,-92.656981,321,13271.06206125
p_177169,41.295294,-92.656865,322,13280.77805479
p_177169,41.295309,-92.65569,323,13379.20845566
p_177169,41.295309,-92.65511,324,13427.78841222
p_177169,41.295308,-92.654524,325,13476.87104608
p_177169,41.295225,-92.654523,326,13486.08937502
p_177169,41.294369,-92.654516,327,13581.15820951
p_177169,41.29391,-92.654511,328,13632.13628515
p_177169,41.293581,-92.654507,329,13668.67642633
p_177169,41.293467,-92.654505,330,13681.33832734
p_177169,41.293031,-92.654505,331,13729.76030441
p_177169,41.292583,-92.654504,332,13779.51506311
p_177169,41.29213,-92.654504,333,13829.82504522
p_177169,41.291796,-92.654503,334,13866.91903134
p_177169,41.291707,-92.654503,335,13876.80333142
p_177169,41.291262,-92.654505,336,13926.22511345
p_177169,41.290815,-92.654505,337,13975.86872677
p_177169,41.289934,-92.654518,338,14073.71822758
p_177169,41.289803,-92.654514,339,14088.27088181
p_177169,41.289566,-92.654521,340,14114.59851643
p_177169,41.288932,-92.654518,341,14185.01068977
p_177169,41.288869,-92.654519,342,14192.00793945
p_177169,41.287138,-92.654518,343,14384.25191565
p_177169,41.286987,-92.654518,344,14401.02189421
p_177169,41.28537,-92.654531,345,14580.60831636
p_177169,41.285269,-92.654532,346,14591.82563129
p_177169,41.285269,-92.654378,347,14604.72642499
p_177169,41.2852651205417,-92.6534483310454,348,14682.60727746
p_177169,41.285268,-92.65345,349,14682.95629507
p_177169,41.285268,-92.653321,350,14693.76280424
p_177169,41.285263,-92.652155,351,14791.44182589
p_177169,41.285272,-92.649779,352,14990.48515721
p_177169,41.285272,-92.649726,353,14994.92504055
p_177169,41.28527,-92.647633,354,15170.25869025
p_177169,41.285274,-92.645931,355,15312.83827757
p_177169,41.285274,-92.645911,356,15314.5137052
p_177169,41.285272,-92.645815,357,15322.55882476
p_177169,41.285263,-92.645656,358,15335.91592666
p_177169,41.28429,-92.645659,359,15443.97703108
p_177169,41.283445,-92.645651,360,15537.82461608
p_177169,41.283385,-92.64565,361,15544.48870606
p_177169,41.282983,-92.645649,362,15589.13465767
p_177169,41.282735,-92.645645,363,15616.67942214
p_177169,41.28248,-92.645641,364,15645.00154509
p_177169,41.282214,-92.645633,365,15674.55093864
p_177169,41.282022,-92.645626,366,15695.88239905
p_177169,41.281838,-92.645616,367,15716.33448679
p_177169,41.281643,-92.645601,368,15738.02748958
p_177169,41.281594,-92.645597,369,15743.47970582
p_177169,41.281323,-92.645569,370,15773.66806394
p_177169,41.281196,-92.645553,371,15787.8361516
p_177169,41.281026,-92.645531,372,15806.80598876
p_177169,41.280853,-92.645506,373,15826.13307354
p_177169,41.280271,-92.64541,374,15891.26805107
p_177169,41.280004,-92.645366,375,15921.14913577
p_177169,41.279348,-92.645246,376,15994.6944253
p_177169,41.278481,-92.645101,377,16091.74613117
p_177169,41.278479,-92.644918,378,16107.07949283
p_177169,41.278475,-92.644519,379,16140.51069387
p_177169,41.27847,-92.644039,380,16180.72896567
p_177169,41.278469,-92.64397,381,16186.51085813
p_177169,41.278463,-92.643294,382,16243.15011736
p_177169,41.278459,-92.64256,383,16304.64631099
p_177169,41.279991,-92.642552,384,16474.79049241
p_177169,41.280053,-92.64255,385,16481.67820888
p_177169,41.280088,-92.642547,386,16485.57340229
p_177169,41.280145,-92.64254,387,16491.93088999
p_177169,41.280176,-92.642533,388,16495.42331889
p_177169,41.280211,-92.642522,389,16499.41814431
p_177169,41.280232,-92.642516,390,16501.80394503
p_177169,41.280283,-92.642496,391,16507.7106087
p_177169,41.280327,-92.642473,392,16512.96340409
p_177169,41.280373,-92.642445,393,16518.58494965
p_177169,41.280593,-92.642299,394,16545.90864054
p_177169,41.280685,-92.64225,395,16556.9199173
p_177169,41.28076,-92.64222,396,16565.6202909
p_177169,41.28088,-92.642181,397,16579.34207784
p_177169,41.280934,-92.642168,398,16585.4373712
p_177169,41.281033,-92.642156,399,16596.4781116
p_177169,41.281156,-92.64215,400,16610.14765616
p_177169,41.281506,-92.642144,401,16649.0216785
p_177169,41.281513,-92.642144,402,16649.79909397
p_177169,41.281595,-92.642142,403,16658.90750222
p_177169,41.2816,-92.640474,404,16798.64711218
p_177169,41.281605,-92.638605,405,16955.22558424
p_177169,41.281611,-92.637693,406,17031.63226556
p_177169,41.28161,-92.637263,407,17067.65614535
p_177169,41.281614,-92.637128,408,17078.97463532
p_177169,41.281618,-92.637065,409,17084.27118969
p_177169,41.281635,-92.636928,410,17095.90275939
p_177169,41.281667,-92.636764,411,17110.0942231
p_177169,41.281703,-92.636583,412,17125.77591108
p_177169,41.281723,-92.636468,413,17135.66287773
p_177169,41.281738,-92.636335,414,17146.92892105
p_177169,41.281747,-92.636134,415,17163.7975158
p_177169,41.281754,-92.632078,416,17503.5934046
p_177169,41.281754,-92.631937,417,17515.4058041
p_177169,41.283964,-92.631922,418,17760.85024917
p_177169,41.28404,-92.631922,419,17769.29076368
p_177169,41.285352,-92.631916,420,17915.0015829
p_177169,41.286082,-92.631918,421,17996.07514329
p_177169,41.287027,-92.631918,422,18101.02632433
p_177169,41.287063,-92.631918,423,18105.0244649
p_177169,41.287159,-92.631916,424,18115.68748948
