link_id,name,from_node_id,to_node_id,length,geometry,link_type,dir_flag,lanes,free_speed,capacity
10023643,59,10003546,10003577,0.437663295,"LINESTRING (-112.18652279999999 33.48407496, -112.18650420000002 33.48013899)",transit,1,1,65,1900
10023644,59,10003577,10003535,0.475649729,"LINESTRING (-112.18650420000002 33.48013899, -112.18650729999999 33.47586137)",transit,1,1,65,1900
10023645,59,10003535,10003587,0.254039183,"LINESTRING (-112.18650729999999 33.47586137, -112.18651509999998 33.47357675)",transit,1,1,65,1900
10023646,59,10003587,10003534,0.517578445,"LINESTRING (-112.18651509999998 33.47357675, -112.18652309999999 33.46892206)",transit,1,1,65,1900
10023647,59,10003534,10003558,0.383446704,"LINESTRING (-112.18652309999999 33.46892206, -112.1866033 33.46547429)",transit,1,1,65,1900
10023648,59,10003558,10003529,0.397359323,"LINESTRING (-112.1866033 33.46547429, -112.1866125 33.46190076)",transit,1,1,65,1900
10023649,59,10003529,10003573,0.398955913,"LINESTRING (-112.1866125 33.46190076, -112.1865959 33.45831289)",transit,1,1,65,1900
10023650,59,10003573,10003547,0.405242633,"LINESTRING (-112.1865959 33.45831289, -112.1866219 33.45466852)",transit,1,1,65,1900
10023651,59,10003547,10003579,0.481617735,"LINESTRING (-112.1866219 33.45466852, -112.1866558 33.45033732)",transit,1,1,65,1900
10023652,30,10000782,10000786,0.336346138,"LINESTRING (-111.9691097 33.42181276, -111.9654857 33.42183796)",transit,1,1,65,1900
10023653,30,10000786,10000790,0.467618135,"LINESTRING (-111.9654857 33.42183796, -111.9604472 33.42181425)",transit,1,1,65,1900
10023654,30,10000790,10000785,0.397299918,"LINESTRING (-111.9604472 33.42181425, -111.95616629999999 33.42181133)",transit,1,1,65,1900
10023655,30,10000785,10000788,0.431288977,"LINESTRING (-111.95616629999999 33.42181133, -111.9515193 33.42178207)",transit,1,1,65,1900
10023656,30,10000788,10000789,0.361820443,"LINESTRING (-111.9515193 33.42178207, -111.94762069999999 33.42178919)",transit,1,1,65,1900
10023657,30,10000789,10000787,0.279883705,"LINESTRING (-111.94762069999999 33.42178919, -111.94460520000001 33.42175731)",transit,1,1,65,1900
10023658,30,10000787,10000783,0.286824275,"LINESTRING (-111.94460520000001 33.42175731, -111.94151540000001 33.42181325)",transit,1,1,65,1900
10023659,30,10000783,10006948,0.204972945,"LINESTRING (-111.94151540000001 33.42181325, -111.93930719999999 33.4218475)",transit,1,1,65,1900
10023660,30,10006948,10006957,0.175025673,"LINESTRING (-111.93930719999999 33.4218475, -111.9374213 33.421847)",transit,1,1,65,1900
10023661,30,10006957,10006752,0.277404673,"LINESTRING (-111.9374213 33.421847, -111.9344324 33.42182351)",transit,1,1,65,1900
10023662,30,10006752,10007025,0.167375891,"LINESTRING (-111.9344324 33.42182351, -111.9326301 33.42187781)",transit,1,1,65,1900
10023663,30,10007025,10006986,0.618738267,"LINESTRING (-111.9326301 33.42187781, -111.9259632 33.42188202)",transit,1,1,65,1900
10023664,30,10006986,10006997,0.357337276,"LINESTRING (-111.9259632 33.42188202, -111.92211299999998 33.4219061)",transit,1,1,65,1900
10023665,30,10006997,10006916,0.446163076,"LINESTRING (-111.92211299999998 33.4219061, -111.91730559999999 33.4218996)",transit,1,1,65,1900
10023666,30,10006916,10007632,0.39636448,"LINESTRING (-111.91730559999999 33.4218996, -111.91303529999999 33.42184371)",transit,1,1,65,1900
10023667,30,10007632,10006927,0.450199924,"LINESTRING (-111.91303529999999 33.42184371, -111.90818440000001 33.42184431)",transit,1,1,65,1900
10023668,30,10006927,10006938,0.287014957,"LINESTRING (-111.90818440000001 33.42184431, -111.9050929 33.42191267)",transit,1,1,65,1900
10023669,30,10006938,10007057,0.366126203,"LINESTRING (-111.9050929 33.42191267, -111.90114890000001 33.42198722)",transit,1,1,65,1900
10023670,30,10007057,10006976,0.489381296,"LINESTRING (-111.90114890000001 33.42198722, -111.8958761 33.42194136)",transit,1,1,65,1900
10023671,30,10006976,10007052,0.328952932,"LINESTRING (-111.8958761 33.42194136, -111.892335 33.42181246)",transit,1,1,65,1900
10023672,30,10007052,10006967,0.270211264,"LINESTRING (-111.892335 33.42181246, -111.88942420000001 33.42186664)",transit,1,1,65,1900
10023673,30,10006967,10007063,0.160851975,"LINESTRING (-111.88942420000001 33.42186664, -111.88769409999999 33.42195284)",transit,1,1,65,1900
10023674,30,10007063,10006917,0.482156571,"LINESTRING (-111.88769409999999 33.42195284, -111.8824989 33.42196978)",transit,1,1,65,1900
10023675,30,10006917,10007043,0.236056213,"LINESTRING (-111.8824989 33.42196978, -111.8799557 33.4220028)",transit,1,1,65,1900
10023676,30,10007043,10003894,0.502791798,"LINESTRING (-111.8799557 33.4220028, -111.87456200000001 33.42157877)",transit,1,1,65,1900
10023677,30,10003894,10003885,0.366448457,"LINESTRING (-111.87456200000001 33.42157877, -111.8745608 33.41828322)",transit,1,1,65,1900
10023678,30,10003885,10002262,0.487203277,"LINESTRING (-111.8745608 33.41828322, -111.8703 33.415724)",transit,1,1,65,1900
10023679,30,10002262,10001824,0.365375942,"LINESTRING (-111.8703 33.415724, -111.8742347 33.41582734)",transit,1,1,65,1900
10023680,30,10001824,10006608,0.303068451,"LINESTRING (-111.8742347 33.41582734, -111.87420279999999 33.41855277)",transit,1,1,65,1900
10023681,30,10006608,10000772,0.383766954,"LINESTRING (-111.87420279999999 33.41855277, -111.87397309999999 33.42199874)",transit,1,1,65,1900
10023682,30,10000772,10000776,0.857212196,"LINESTRING (-111.87397309999999 33.42199874, -111.86473670000001 33.4220291)",transit,1,1,65,1900
10023683,30,10000776,10000779,0.388297567,"LINESTRING (-111.86473670000001 33.4220291, -111.8605528 33.42203741)",transit,1,1,65,1900
10023684,30,10000779,10000770,0.434378985,"LINESTRING (-111.8605528 33.42203741, -111.8558732 33.42196349)",transit,1,1,65,1900
10023685,30,10000770,10000780,0.380237281,"LINESTRING (-111.8558732 33.42196349, -111.85177959999999 33.42210404)",transit,1,1,65,1900
10023686,30,10000780,10000792,0.295102169,"LINESTRING (-111.85177959999999 33.42210404, -111.8486002 33.42214247)",transit,1,1,65,1900
10023687,30,10000792,10000775,0.345483345,"LINESTRING (-111.8486002 33.42214247, -111.8448783 33.42220246)",transit,1,1,65,1900
10023688,30,10000775,10000771,0.506403803,"LINESTRING (-111.8448783 33.42220246, -111.8394219 33.42223264)",transit,1,1,65,1900
10023689,30,10000771,10000778,0.298283551,"LINESTRING (-111.8394219 33.42223264, -111.83620790000002 33.42222398)",transit,1,1,65,1900
10023690,30,10000778,10000777,0.240861317,"LINESTRING (-111.83620790000002 33.42222398, -111.8336127 33.42224203)",transit,1,1,65,1900
10023691,30,10000777,10006828,0.267488038,"LINESTRING (-111.8336127 33.42224203, -111.83073219999999 33.42215959)",transit,1,1,65,1900
10023692,30,10006828,10006850,0.454767287,"LINESTRING (-111.83073219999999 33.42215959, -111.8258322 33.42218961)",transit,1,1,65,1900
10023693,30,10006850,10006891,0.331256873,"LINESTRING (-111.8258322 33.42218961, -111.8222632 33.42222854)",transit,1,1,65,1900
10023694,30,10006891,10006700,0.406491388,"LINESTRING (-111.8222632 33.42222854, -111.8178834 33.4222599)",transit,1,1,65,1900
10023695,30,10006700,10006865,0.394480202,"LINESTRING (-111.8178834 33.4222599, -111.81363290000002 33.42227554)",transit,1,1,65,1900
